"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C4,C5,C6","C","~","Capacitor_SMD:C_0402_1005Metric","5",""
"C3,C7","1uF","~","Capacitor_SMD:C_0402_1005Metric","2",""
"JP1","U_FL-R-SMT-1(10)","https://item.szlcsc.com/89552.html","jlc:ANT-SMD_UFL-R-SMT-1-10","1",""
"R1,R4","10K","~","Resistor_SMD:R_0402_1005Metric","2",""
"R2,R3","5.1K","~","Resistor_SMD:R_0402_1005Metric","2",""
"SW1,SW2","SW_Omron_B3FS","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","2",""
"U1","ESP32-S3","https://www.espressif.com/sites/default/files/documentation/esp32-s3_datasheet_en.pdf","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm","1",""
"U2","GT-USB-7004N","https://atta.szlcsc.com/upload/public/pdf/source/20210507/C2686968_A2C7AC8037FA641926B2358B7DAFD325.pdf","jlc:USB-C-SMD_GT-USB-7004","1",""
"U3","NCP167BMX330TBG","https://item.szlcsc.com/196276.html","jlc:XDFN-4_L1.0-W1.0-P0.65-BL-EP","1",""
"U4","LY68L6400SLIT","https://item.szlcsc.com/383602.html","jlc:SOP-8_L4.9-W3.9-P1.27-LS6.0-BL","1",""
"X1","TZ1269D","https://atta.szlcsc.com/upload/public/pdf/source/20210612/25E10314463341ECFDA871AE575B9E16.pdf","jlc:CRYSTAL-SMD_4P-L2.0-W1.6-BL-A","1",""
