Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,13pF,C_0402_1005Metric,40.48,-38,0,top
C2,13pF,C_0402_1005Metric,46.48,-39.5,0,top
C3,1uF,C_0402_1005Metric,38.12,-38,0,top
C4,1uF,C_0402_1005Metric,47.25,-27.81,0,top
C5,1uF,C_0402_1005Metric,48.62,-19.7,180,top
C6,1uF,C_0402_1005Metric,43.88,-19.7,0,top
C7,1uF,C_0402_1005Metric,41.6,-51.58,90,top
C8,1uF,C_0402_1005Metric,33.32,-41.6,0,top
C9,0.1uF,C_0402_1005Metric,33.32,-40,0,top
C10,1uF,C_0402_1005Metric,35.45,-36.32,-90,top
C11,1uF,C_0402_1005Metric,36.26,-55.7,90,top
C12,1uF,C_0402_1005Metric,38.23,-55.7,90,top
C13,0.1uF,C_0402_1005Metric,40.2,-55.7,90,top
C14,0.1uF,C_0402_1005Metric,42.17,-55.7,90,top
C15,0.1uF,C_0402_1005Metric,48.02,-45.2,0,top
C16,0.1uF,C_0402_1005Metric,48.02,-47.17,0,top
D1,SD103AWS_C5345966,SOD-323_L1.7-W1.3-LS2.5-RD,34.8001,-24.5,180,top
D2,SD103AWS_C5345966,SOD-323_L1.7-W1.3-LS2.5-RD,42.3,-25,0,top
D3,SD103AWS_C5345966,SOD-323_L1.7-W1.3-LS2.5-RD,38.8,-25,180,top
JP1,U_FL-R-SMT-1(10),ANT-SMD_UFL-R-SMT-1-10,48.125,-33.6776,0,top
R1,10K,R_0402_1005Metric,37.49,-42.6,180,top
R2,5.1K,R_0402_1005Metric,45.2,-21.51,-90,top
R3,5.1K,R_0402_1005Metric,47,-21.51,-90,top
R4,10K,R_0402_1005Metric,40.21,-42.6,0,top
R5,100K,R_0402_1005Metric,32.6,-36.21,90,top
R6,442k,R_0402_1005Metric,37.43,-36.34,-90,top
U1,ESP32-S3,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,42.16,-31.0725,180,top
U2,GT-USB-7004N,USB-C-SMD_GT-USB-7004,38.0999,-20,180,top
U3,NCP167BMX330TBG,XDFN-4_L1.0-W1.0-P0.65-BL-EP,48.7,-17.5,90,top
U4,LY68L6400SLIT,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,34.405,-30.8175,0,top
U5,PTS830GG140SMTRLFS,KEY-SMD_4P-L3.1-W2.6_PTS830GG140SMTRLFS,37.8249,-45.4999,90,top
U6,PTS830GG140SMTRLFS,KEY-SMD_4P-L3.1-W2.6_PTS830GG140SMTRLFS,37.825,-50.5,-90,top
U7,220S-2*16P_H=8_5MM_Ytype_L=3_0MM_PBT,HDR-TH_32P-P2.54-V-F-R2-C16-S2.54,28.48,-37.1,-90,top
X1,TZ1269D,CRYSTAL-SMD_4P-L2.0-W1.6-BL-A,44.0121,-38.638,-90,top
