Designator,Mid X,Mid Y,Rotation,Layer
C1,37.98,-31.12,0.0,top
C2,37.98,-33.09,0.0,top
C3,37.98,-35.06,0.0,top
C4,37.98,-37.03,0.0,top
C5,37.98,-39.0,0.0,top
C6,37.98,-40.97,0.0,top
C7,38.96,-45.94,0.0,top
C8,66.987551,-43.7025,0.0,top
C9,66.987551,-45.6725,0.0,top
D1,67.652449,-36.343522,0.0,top
D2,67.652449,-38.895566,0.0,top
D3,67.652449,-41.44761,0.0,top
JP1,47.875032,-40.0,0.0,top
R1,40.87,-31.13,0.0,top
R2,40.87,-33.12,0.0,top
R3,40.87,-35.11,0.0,top
R4,40.87,-37.1,0.0,top
R5,60.387551,-44.3725,0.0,top
U1,33.0,-20.5,90.0,top
U2,45.0,-20.5,0.0,top
U3,31.825121,-41.975235,0.0,top
U4,62.405004,-39.182499,270.0,top
X1,49.861951,-49.987935,0.0,top
